Role,Stream,Bachelor's Degrees,Master's Degrees,Certifications,Competitions,Courses
Software Engineer,Science (PCM),B.Tech in Computer Science,M.Tech in Computer Science,"AWS Certified Developer, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","Smart India Hackathon, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Data Structures and Algorithms, System Design, Cloud Computing"
Software Engineer,Science (PCM),B.E. in Information Technology,MS in Software Engineering,"Full Stack Developer (MEAN/MERN), Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","ACM-ICPC, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Full Stack Web Development, DevOps, Agile Methodologies"
Software Engineer,Science (PCM),BCA,MCA,"Oracle Java Certification, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","Google Code Jam, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Software Testing, Cyber Security, Mobile App Development"
Software Engineer,Science (PCM),B.Tech in Computer Science,M.Tech in Computer Science,"AWS Certified Developer, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","TCS CodeVita, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Big Data Analytics, AI/ML Fundamentals, Blockchain Technology"
Data Scientist,Science (PCM),B.Tech in Computer Science,M.Tech in Artificial Intelligence,"IBM Data Science Professional, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","Analytics Vidhya Hackathons, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Deep Learning, Data Visualization, Python for Data Science"
Data Scientist,Science (PCM),B.Sc Statistics/Mathematics,M.Sc Data Science,"Python for Data Science (NPTEL), Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","MachineHack challenges, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Data Structures and Algorithms, System Design, Cloud Computing"
Data Scientist,Science (PCM),B.Tech in Computer Science,M.Tech in Artificial Intelligence,"Microsoft Azure Data Scientist, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","Kaggle competitions, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Full Stack Web Development, DevOps, Agile Methodologies"
Mechanical Design Engineer,Science (PCM),B.Tech/B.E. in Mechanical Engineering,M.Tech in Machine Design,"AutoCAD Certified Professional, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","SAE BAJA, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Software Testing, Cyber Security, Mobile App Development"
Mechanical Design Engineer,Science (PCM),B.Tech/B.E. in Mechanical Engineering,M.Tech in CAD/CAM,"SolidWorks Certification, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","SUPRA SAE, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Big Data Analytics, AI/ML Fundamentals, Blockchain Technology"
Mechanical Design Engineer,Science (PCM),B.Tech/B.E. in Mechanical Engineering,M.Tech in Machine Design,"ANSYS Certification, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","National Level Technical Paper Presentations, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Deep Learning, Data Visualization, Python for Data Science"
Civil Engineer,Science (PCM),B.Tech/B.E. in Civil Engineering,M.Tech in Structural Engineering,"AutoCAD Civil 3D, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","National Design Competitions, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Data Structures and Algorithms, System Design, Cloud Computing"
Civil Engineer,Science (PCM),B.Tech/B.E. in Civil Engineering,M.Tech in Construction Management,"Project Management Professional (PMP), Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","Bentley's Future Infrastructure Challenge, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Full Stack Web Development, DevOps, Agile Methodologies"
Civil Engineer,Science (PCM),B.Tech/B.E. in Civil Engineering,M.Tech in Structural Engineering,"LEED Green Associate, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","National Design Competitions, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Software Testing, Cyber Security, Mobile App Development"
Medical Doctor,Science (PCB),MBBS (through NEET-UG),MD/MS (through NEET-PG),"BLS/ACLS Certification, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","Medical Quiz competitions, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Big Data Analytics, AI/ML Fundamentals, Blockchain Technology"
Medical Doctor,Science (PCB),MBBS (through NEET-UG),DNB,"Specialized medical courses, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","Research paper presentations, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Deep Learning, Data Visualization, Python for Data Science"
Medical Doctor,Science (PCB),MBBS (through NEET-UG),MD/MS (through NEET-PG),"BLS/ACLS Certification, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","Clinical case competitions, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Data Structures and Algorithms, System Design, Cloud Computing"
Biotechnologist,Science (PCB),B.Tech/B.Sc in Biotechnology,M.Tech/M.Sc in Biotechnology,"Bioinformatics courses, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","Bio-Plan competitions, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Full Stack Web Development, DevOps, Agile Methodologies"
Biotechnologist,Science (PCB),B.Sc in Microbiology,M.Sc in Molecular Biology,"GLP (Good Laboratory Practice), Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","Innovation challenges in Biotechnology, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Software Testing, Cyber Security, Mobile App Development"
Biotechnologist,Science (PCB),B.Tech/B.Sc in Biotechnology,M.Tech/M.Sc in Biotechnology,"Cell Culture techniques, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","DST-sponsored contests, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Big Data Analytics, AI/ML Fundamentals, Blockchain Technology"
Chartered Accountant,Commerce,B.Com,CA Foundation,"GST Professional Certification, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","CA Students' Debate, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Deep Learning, Data Visualization, Python for Data Science"
Chartered Accountant,Commerce,B.Com (Hons),CA Intermediate,"Financial Modeling certification, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","ICAI Quiz competitions, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Data Structures and Algorithms, System Design, Cloud Computing"
Chartered Accountant,Commerce,B.Com,CA Final,"GST Professional Certification, Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","Case study challenges, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Full Stack Web Development, DevOps, Agile Methodologies"
Investment Banker,Commerce,B.Com,MBA Finance,"NISM Series (Securities Market), Google Cloud Certified, Microsoft Azure Fundamentals, PMP Certification","Stock Market simulations, Facebook Hacker Cup, Kaggle Competitions, Codeforces Contests","Software Testing, Cyber Security, Mobile App Development"
